name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,444,11349503890,,-111.9480380,33.4210881,,,,,
,445,42306191,,-111.9479734,33.4210881,,,,,
,446,4176965235,,-111.9479568,33.4124994,,,,,
,447,2341521970,,-111.9489341,33.4124353,,,,,
,448,401888159,,-111.9495570,33.4119249,,,,,
,449,11369695288,,-111.9498244,33.4116977,,,,,
,450,11347248370,,-111.9423640,33.4176183,,,,,
,451,41662596,,-111.9400257,33.4176256,,,,,
,452,10288474545,,-111.9401227,33.4176273,,,,,
,453,6700916742,,-111.9405079,33.4176276,,,,,
,454,863733749,,-111.9406098,33.4176261,,,,,
,455,41533540,,-111.9412300,33.4176195,,,,,
,456,11347114403,,-111.9412872,33.4176194,,,,,
,457,11347114407,,-111.9411375,33.4176205,,,,,
,458,863736888,,-111.9418304,33.4176181,,,,,
,459,11343876750,,-111.9473370,33.4177945,,,,,
,460,11352315569,,-111.9485165,33.4178013,,,,,
,461,42409017,,-111.9472743,33.4177942,,,,,
,462,11343876724,,-111.9458302,33.4177925,,,,,
,463,11343876747,,-111.9472040,33.4177941,,,,,
,464,11343876720,,-111.9456975,33.4177920,,,,,
,465,11345033427,,-111.9443047,33.4177837,,,,,
,466,4181519091,,-111.9448141,33.4177868,,,,,
,467,41520533,,-111.9442439,33.4177833,,,,,
,468,11360354192,,-111.9521076,33.4176655,,,,,
,469,42001803,,-111.9521944,33.4176657,,,,,
,470,11352315624,,-111.9501228,33.4176619,,,,,
,471,11352315623,,-111.9499596,33.4179369,,,,,
,472,11352299753,,-111.9486366,33.4179324,,,,,
,473,316008402,,-111.9327329,33.4223595,,,,,
,474,316008403,,-111.9327326,33.4217232,,,,,
,475,10292373809,,-111.9327207,33.4195538,,,,,
,476,5261052511,,-111.9327234,33.4198177,,,,,
,477,12485316479,,-111.9327219,33.4202077,,,,,
,478,5264828305,,-111.9327207,33.4194614,,,,,
,479,10307458441,,-111.9327140,33.4189737,,,,,
,480,10281346399,,-111.9327088,33.4184792,,,,,
,481,2065989254,,-111.9408253,33.4147456,,,,,
,482,863733755,,-111.9405641,33.4147222,,,,,
,483,9567915832,,-111.9401960,33.4147084,,,,,
,484,2625358988,,-111.9381424,33.4149982,,,,,
,485,4346569402,,-111.9399016,33.4142825,,,,,
,486,863733763,,-111.9398955,33.4139983,,,,,
,487,10290583671,,-111.9300982,33.4191357,,,,,
,488,10290583665,,-111.9300608,33.4196674,,,,,
,489,10290583682,,-111.9300300,33.4201991,,,,,
,490,10290583609,,-111.9300525,33.4203192,,,,,
,491,317323479,,-111.9341436,33.4202959,,,,,
,492,5264828303,,-111.9341478,33.4197062,,,,,
,493,4716129984,,-111.9341596,33.4196194,,,,,
,494,10281369520,,-111.9341584,33.4192653,,,,,
,495,3826963377,,-111.9341581,33.4183667,,,,,
,496,10291888553,,-111.9341550,33.4182606,,,,,
,497,10281346329,,-111.9349117,33.4183867,,,,,
,498,10291888550,,-111.9330604,33.4183410,,,,,
,499,10290577335,,-111.9329583,33.4183413,,,,,
,500,10281346340,,-111.9353843,33.4183506,,,,,
,501,2391073648,,-111.9351993,33.4183938,,,,,
,502,10291888551,,-111.9331294,33.4183408,,,,,
,503,10281515391,,-111.9333966,33.4183399,,,,,
,504,5264800476,,-111.9334162,33.4183404,,,,,
,505,316872729,,-111.9338279,33.4183487,,,,,
,506,10307527528,,-111.9351283,33.4174034,,,,,
,507,10281243916,,-111.9351481,33.4176145,,,,,
,508,10281243914,,-111.9351181,33.4171530,,,,,
,509,5264819350,,-111.9351338,33.4172152,,,,,
,510,10281369555,,-111.9350566,33.4193852,,,,,
,511,10292381370,,-111.9350560,33.4195950,,,,,
,512,5335291350,,-111.9351136,33.4177588,,,,,
,513,10272423247,,-111.9351189,33.4179095,,,,,
,514,10281346341,,-111.9351844,33.4181697,,,,,
,515,2391073649,,-111.9351997,33.4182209,,,,,
